Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,287931.15,299381.25,304366.98,311081.86,316391.52,319937.2,334546.76,355788.61,352828.06,347358.83,349174.61,349337.89,345320.62,365956.29,381311.7,394206.69,411745.74,429707.51,429225.23,423546.97,405405.12,393434.7,372200.67,377824.07,368295.25,,,,,,
Australia,626253.789,610773.003,546688.375,524693.634,520808.217,504056.917,510448.392,514810.424,513539.423,530836.249,555489.946,573384.054,573076.786,585747.636,579608.405,608646.542,621730.186,633487.195,622402.857,624317.993,603247.575,582074.533,566439.399,549887.674,548935.921,537823.577,513732.804,512506.387,518521.948,505803.692,487591.186
Austria,66358.61,65255.472,63641.637,63679.409,64047.325,66006.6,71841.656,62976.64,64126.861,60287.865,63523.565,64581.307,71374.19,86228.043,81555.882,81259.303,84560.195,81567.758,82267.186,77125.833,80372.542,77848.513,75803.618,77234.516,73849.418,76285.631,77423.91,79002.759,75419.521,77111.427,72339.103
Belgium,142750.652,145936.473,145717.758,144560.186,149416.282,151312.004,154827.923,146814.48,151431.61,145678.648,147198.056,145811.482,145302.618,145706.909,146949.347,143902.327,141088.7,137750.939,137741.958,125279.814,133392.858,122951.486,120193.867,119644.776,113970.64,118207.487,116761.412,116563.839,117096.134,116071.567,106191.618
Bulgaria,80468.085,62312.147,57260.555,56436.977,52526.624,54038.115,55146.306,51813.38,48075.633,41273.594,39208.654,44900.214,42015.006,47315.704,45810.753,45152.994,49204.96,52244.823,52672.972,43727.438,47022.53,55695.634,51234.665,48278.548,50308.751,54188.374,50267.407,53521.67,50262.744,49484.3,39580.398
Belarus,116752.725,107734.947,97355.393,90113.453,63957.796,57604.511,58715.345,60165.634,62744.081,50184.496,48586.349,49276.024,49304.867,53951.767,55630.578,55468.896,56666.377,53522.91,55990.492,49172.918,47213.496,47777.336,50949.37,49357.292,48664.052,45280.239,48988.297,53232.027,52837.808,57946.058,51416.616
Brazil,1346971.12,1232547.09,1384444.15,1458270.7,1476109.9,2490606.8,1823022.42,1544129,1818402.45,1827505.27,1911180.94,1925772.25,2159764.5,3090713.21,3324850.61,2352530.37,1949017.48,1662577.41,1795467.98,1175957.37,1202128.3,1148605.39,1047965.21,1281806.27,1182221.64,1274810.49,1305569.78,,,,
Canada,531184.868,514298.907,546374.067,561050.822,572458.351,605881.079,621299.195,632955.107,633561.12,654032.317,690491.255,673786.32,714722.119,733290.06,733509.09,736954.826,716968.685,740691.342,717086.408,648720.183,691336.341,709524.332,702022.2,712653.378,690188.06,732459.128,704489.737,707995.708,731538.067,722348.263,665593.454
Switzerland,51522.325,50266.059,50926.03,48210.711,48532.538,48680.489,47763.333,48254.017,50825.793,51068.277,58076.395,53438.272,50254.623,51365.331,52030.775,52423.903,53052.785,52221.285,52292.818,49803.576,51737.483,49308.737,49413.583,50764.585,48542.031,46188.26,46499.583,45858.927,45352.209,43858.238,41585.734
Chile,-10943.14,-8381.61,-9239.44,-6875.64,-5774.3,-4277.85,2241.98,6323.74,24571.91,14404.59,-362.88,-3963.35,10291.79,-5335.76,6040.65,7716.26,6144.62,28448.3,27473.03,21479.95,10975.64,20050.8,34099.82,25116.86,33286.64,49827.96,35458.18,99505.35,48320.72,,
China (People's Republic of),,,,,3650138,,,,,,,,,,,7249000,,,,,9550151,,11320248.2,,11185410,,,,,,
Colombia,220256.692,223890.118,229291.652,231851.829,233996.404,236422.441,238109.493,245762.753,244939.956,239919.315,223853.221,204573.847,204626.823,223329.272,225783.883,218084.534,220733.955,224566.25,221187.803,220702.838,230220.388,238198.804,239295.851,229629.634,236444.139,233045.974,255282.949,277869.493,279198.626,,
Costa Rica,37300.5,36267.94,21774.97,20799.28,21276.23,20099.98,21228.34,21023.65,28280.06,27374.8,27601.23,15500.77,16149.23,15630.86,16702.01,16587.38,17334.4,19489.73,16041.05,15519.39,16701.29,16361.28,17696.12,18736.77,12559.26,14108.71,12773.35,11509.24,,,
Cyprus,5271.52,5779.738,6224.814,6504.467,6769.288,6696.018,7041.445,7154.404,7533.177,7707.303,8229.483,8033.749,8177.882,8570.898,8804.912,8919.206,9186.485,9661.459,9707.862,9461.255,9168.726,8820.829,8301.542,7566.687,7937.719,7986.696,8816.119,8636.318,8509.151,8551.293,8522.769
Czech Republic,188019.023,168399.054,162936.351,155033.567,147627.946,146283.293,149602.001,146139.215,140348.718,130493.277,140206.267,140395.194,137058.005,140796,142068.222,139758.262,142252.216,144613.231,138276.841,129032.785,132510.345,130759.026,126699.268,122080.75,119978.689,121480.173,123701.936,126437.614,130140.943,131130.623,125560.376
Germany,1268921.808,1164710.431,1109104.761,1100617.118,1088427.033,1090715.501,1105254.912,1070886.421,1046448.29,1009110.538,1027336.925,1035219.508,1047328.569,1040111.012,1019768.329,991057.592,990564.773,968231.288,957277.194,882930.679,921074.025,895267.367,890853.073,910652.863,871833.818,877518.948,878975.431,863618.159,830492.427,784842.053,717472.612
Denmark,78337.862,88278.284,83190.037,84009.007,87461.692,84610.572,97117.707,88152.347,84008.439,81797.81,77271.024,78499.784,78934.156,83749.533,77509.428,73082.03,80996.242,76665.907,71635.7,68125.279,67505.17,61824.701,56699.02,58060.386,54593.237,50954.137,54081.053,51895.305,53738.069,49075.105,46601.346
Spain,254106.692,262620.7,272960.091,262151.044,281118.612,295434.414,287059.828,301830.348,310709.184,334621.446,348537.543,345255.818,364806.602,373516.185,389380.927,404680.741,395873.98,409287.499,375436.316,338099.106,321431.925,321187.922,315953.183,290251.74,290354.234,299448.052,287778.915,300752.913,295102.952,276723.198,239194.103
Estonia,37015.276,34263.581,25110.712,18513.039,19560.116,17281.137,17877.33,17478.048,15257.864,14520.305,13274.544,13578.345,13270.324,13206.984,15071.456,17881.753,15817.588,19148.05,17323.759,12766.865,16345.424,16311.882,16476.437,19769.319,19420.863,15908.675,17627.09,19698.375,18687.441,14301.556,12853.075
Finland,57574.506,42613.04,47070.894,49271.746,61608.753,58439.402,57322.86,60715.371,58235.516,56860.414,55082.145,58860.57,60035.806,66798.11,61995.828,49355.975,55285.027,62659.704,51512.97,34496.082,53891.834,45868.797,37700.556,44389.114,37686.066,36209.247,40212.494,38775.654,48732.294,39145.104,30413.18
France,523393.038,550299.152,540321.039,517244.228,512333.258,515511.92,526097.311,518335.17,531012.929,522248.44,532342.549,526120.694,514680.584,513136.93,509970.77,508823.738,496646.238,487345.98,481738.533,470496.215,474170.028,450394.657,448578.975,446737.324,423097.063,430212.766,441187.692,455084.434,436489.938,431390.772,384791.525
United Kingdom,810197.591,818526.531,797012.44,777032.72,765755.674,759520.166,779369.384,754794.028,752849.081,722891.077,722596.328,724929.813,702585.112,708988.401,704799.69,696703.405,689148.501,677143.544,655242.284,598862.038,613137.373,567410.039,583860.764,570314.779,529803.959,512459.938,487539.941,476204.41,468065.121,452517.858,409523.608
Greece,101342.735,101198.08,102322.575,101470.136,104454.216,106526.692,110238.472,115486.241,121254.353,120605.437,124591.026,125164.074,124790.047,128799.354,129486.699,133131.434,129193.213,133685.752,128840.369,121550.479,115467.926,112397.739,109185.506,101079.223,99131.012,91705.291,88335.5,92345.258,88286.095,82538.091,70882.608
Croatia,24692.482,16594.321,14532.176,14277.826,13138.967,13265.461,14139.935,16296.198,16666.545,17256.618,18531.953,18526.085,19369.198,21713.261,21500.742,21808.611,22454.221,24786.664,23547.408,21340.564,21060.718,21955.51,20614.399,18577.548,18004.517,19069.501,19125.346,20550.886,19102.571,19226.017,18501.132
Hungary,91721.569,85960.602,75202.884,73805.457,72199.006,71160.02,77344.438,75345.696,73581.861,76107.401,74079.685,74316.545,73218.98,73725.768,73606.988,70842.333,71853.115,69766.08,65953.266,61171.44,61605.077,60235.717,56324.081,54184.615,53516.452,55839.49,57759.91,59610.098,60315.535,59672.342,55995.333
Indonesia,464552.99,561752.46,513846.13,376792.13,498309.53,,,,,,1375587.93,918077,1220853,1020172,1290970,1289261,1600198,1224497,1225166,1549048,1120499,1342598,1452228,1403907,1844370,2452334,1514944,,,,
India,,,,,1228540.14,,,,,,1301204.34,,,,,,,,,,1884294.15,,,,,,2531723.95,,,,
Ireland,60588.063,61320.328,61032.229,61791.378,63224.501,65824.213,67634.274,68437.321,70795.045,72206.345,76064.685,79371.83,77079.078,77835.262,75766.841,78135.917,77687.507,75768.315,74760.875,68525.621,69778.896,64760.845,64990.972,65450.608,64634.73,67743.253,69258.111,70298.931,69199.348,66742.408,64642.292
Iran,,,,,417011.52,,,,,,492954.67,,,,,,,,,,,,,,,,,,,,
Iceland,12873.351,12665.842,12567.21,12640.084,12562.015,12681.295,12736.157,12902.083,13049.15,13279.16,13313.541,13217.949,13329.469,13293.556,13398.481,13250.944,13904.859,14107.419,14541.294,14202.024,14061.033,13816.758,13817.721,13811.302,13791.434,13853.134,13772.473,13817.416,13862.564,13733.127,13519.397
Israel,,,,,,,57283,,,,66950.33,,,69607.001,69949.047,70444.432,71770.005,75012.399,76440.052,72581.673,75414.704,77575.493,83600.718,78082.781,75976.863,79127.753,78920.905,77739.19,78229.976,79071.987,
Italy,516260.19,502150.504,503172.776,508993.629,490109.093,509920.427,502823.914,518838.306,533708.828,529814.664,536177.486,527505.068,529083.388,556122.266,555568.908,555666.826,544191.784,561551.264,530476.146,471359.591,476268.246,471621.158,461385.788,410809.333,388805.505,398666.486,399039.494,413600.023,394101.814,377672.458,348846.954
Japan,1204584.249,1211002.708,1219432.22,1211949.319,1273395.038,1295511.112,1304395.911,1295506.885,1246912.737,1271167.376,1289944.832,1263714.756,1285838.009,1281803.765,1276793.902,1290047.396,1273416.282,1313148.266,1251193.535,1182209.066,1231518.828,1284163.716,1324844.481,1343854.483,1297015.887,1262968.32,1250438.304,1233097.956,1189852.725,1159204.578,1096111.659
Kazakhstan,381694.784,371848.233,350638.873,319090.324,277540.996,266553.42,254475.833,253308.217,254212.331,235863.268,272760.985,263842.201,284713.999,301750.984,303210.737,311414.007,324464.715,320223.333,312143.349,296920.734,315767.423,302461.567,303413.784,306876.714,355797.065,361169.27,366784.3,385845.103,401661.761,364680.167,351244.264
Korea,254424.47,281879.11,310662.41,347664.39,370444.67,402459.95,435519.09,462375.95,383326.66,413819.35,443704.41,457545.98,482275.04,493177.49,500145.28,506510.32,510828.9,523528.02,536386.08,540874.01,601294.97,631443.36,639994.13,653919.19,647718.71,647012.37,647071.27,668185.97,684958.96,661820.07,
Liechtenstein,236.042,227.979,239.01,242.886,248.366,238.868,232.936,256.854,260.151,256.057,272.15,248.804,256.042,270.167,272.561,273.033,281.425,261.298,283.193,265.528,249.173,240.054,249.516,248.289,217.209,210.355,198.188,205.175,203.661,200.07,184.497
Lithuania,42329.613,44212.408,25306.162,18275.175,17395.238,17700.857,24268.564,22610.714,15977.084,13845.817,10008.857,12974.294,14298.839,15172.231,16444.068,18336.335,19032.285,19290.866,17666.404,12392.204,10327.017,10750.597,11265.832,10623.483,11516.61,12459.422,13194.765,14030.221,13805.542,15058.492,14775.163
Luxembourg,12891.172,13239.611,12662.198,12716.849,12084.758,9593.979,9612.059,8872.754,8111.186,8484.347,9058.157,9558.802,10363.624,10846.561,12205.609,12495.942,12416.146,11918.363,11787.341,11255.228,12137.611,11845.106,11505.797,10795.608,10397.082,9966.861,9627.981,9942.187,10422.57,10469.08,8728.012
Latvia,13567.405,11254.721,6120.58,2800.951,-2053.071,-2297.509,-2400.558,-1189.871,-741.258,2163.438,-1694.412,-1576.168,120.873,695.336,4372.616,5097.485,4820.915,5666.171,4827.577,7059.14,9922.418,8726.5,7183.905,8364.473,12104.257,10892.853,9044.259,7631.094,10658.147,8697.746,11093.197
Monaco,102.625,103.483,109.123,108.27,108.964,105.604,109.411,108.029,107.168,108.337,106.457,106.883,107.2,104.342,99.156,97.841,93.494,93.251,93.961,90.191,88.789,86.447,89.085,91.213,85.446,88.47,86.613,83.539,86.896,83.351,69.963
Mexico,467413.124,477528.929,479929.693,483660.292,513962.001,503565.252,520544.404,545797.282,569164.532,557365.513,369924.815,371241.398,407964.744,405714.974,420627.806,437015.317,449187.779,491864.695,538490.752,542233.701,531100.527,554017.405,536631.846,548655.579,553531.634,552405.777,600401.409,552378.593,569873.71,534688.6,
Malta,2591.131,2443.824,2512.043,3100.294,2881.916,2678.307,2797.321,2811.582,2774.316,2858.838,2784.671,2933.727,3007.301,3286.725,3143.532,2979.974,3039.45,3132.002,3083.787,2899.248,2956.109,2947.953,3130.582,2793.525,2796.459,2119.112,1831.956,2016.174,2028.875,2130.394,2119.41
Netherlands,225365.488,233086.441,233733.648,234546.555,235422.493,235236.784,245931.212,237766.167,238148.904,224587.385,222677.656,223439.911,221184.302,222145.376,223443.369,217531.413,212413.76,210768.225,209988.165,204544.935,216509.202,202190.463,197901.745,197971.853,190060.24,197167.384,197559.164,194294.41,189262.869,183420.782,167446.449
Norway,40889.89,36694.919,35626.761,36060.621,40038.24,36187.88,39999.547,41329.796,39120.603,38580.123,36281.476,35586.045,33305.596,32296.197,33020.242,34615.983,32650.633,34234.939,31431.611,25553.218,31222.872,28976.224,32050.384,31794.105,35943.019,41387.365,40749.352,38977.604,38269.626,34650.018,28940.244
New Zealand,43967.762,42898.901,44287.757,43352.841,44809.622,46567.008,49206.986,51403.84,48563.14,47556.612,48580.272,51024.831,52525.442,53526.599,53421.623,57241.566,59469.576,58650.37,51071.197,49568.108,49100.047,48660.081,53757.434,53510.394,53969.029,53839.902,52153.515,55185.792,55777.276,58582.142,55465.111
Peru,,,,,98800.84,,,,,,222413.8,,,,,154827.41,,,,,170939.58,,178171.2,,197568.03,,205294.17,,,,
Poland,445640.18,440590.461,448992.336,441082.209,435976.999,427813.878,424232.471,414192.84,378247.536,369318.541,360077.4,366312.576,348147.61,360031.194,354501.624,355166.006,376026.472,382944.01,376608.089,358608.72,377611.355,371042.626,363314.623,356792.707,351726.81,358370.741,361784.117,375083.854,374406.517,371541.664,357486.284
Portugal,59594.904,61477.854,60946.683,58347.771,58510.373,63669.156,57883.48,60177.839,66724.206,73714.53,76137.416,72511.74,77589.142,83618.396,76728.933,88337.68,72492.305,66420.229,62436.783,59489.338,59844.466,57179.33,56597.666,55966.894,53819.044,58806.881,61187.183,80942.661,60391.995,55599.743,50657.556
Romania,221334.583,177181.924,160386.892,148966.181,146868.682,154426.706,158209.228,150455.435,131065.839,113492.778,107585.901,110335.006,113910.072,119151.231,117626.805,115092.188,116994.4,120311.893,116035.208,98054.461,95203.993,102967.844,100668.565,85889.695,82023.67,82434.412,79244.842,85129.5,90492.56,88580.007,80734.469
Russia,3089057.624,2963718.389,2480505.197,2336174.491,1988717.165,1861032.175,1747126.996,1552371.76,1458675.765,1468148.963,1427399.585,1404351.425,1359321.401,1380541.433,1414348.684,1440267.482,1490585.813,1472428.908,1452585.388,1272636.887,1291534.41,1405632.04,1408020.049,1402228.441,1361013.377,1433995.598,1414450.297,1466752.982,1548195.717,1563789.707,1482200.066
Saudi Arabia,150028.97,,,,,,,,,,281891.37,,,,,,,,,,516282.75,,539111.55,,,,,,,,
Slovak Republic,63232.468,53056.295,46792.546,43568.077,41589.758,42583.9,42489.028,42481.025,40738.855,40168.141,38347.793,41359.746,39476.973,40091.764,40771.986,44265.313,41215.802,39909.516,41441.768,37396.595,38972.809,37669.327,34292.308,33292.749,33316.013,33506.531,33896.155,35093.233,35871.093,32888.652,28256.168
Slovenia,14234.656,12528.562,12394.354,12677.742,12896.717,13561.914,13597.711,13932.142,13397.918,12726.658,12395.406,13626.227,12773.578,12839.808,13028.551,13253.509,13489.944,13302.22,14275.721,12181.231,12485.401,12507.995,11983.977,12843.114,17224.299,17506.102,18531.261,18737.713,18616.486,12186.407,11115.64
Sweden,34850.483,35629.574,35857.769,40028.375,40373.016,36887.126,38844.096,32771.619,32214.3,29456.023,26597.728,26566.081,27947.727,31713.919,37417.973,34823.341,25081.483,30049.447,21820.081,17473.73,21670.73,17354.071,14044.813,14522.338,12796.145,15639.766,14827.883,18334.96,17634.764,14074.239,6520.214
Türkiye,163984.013,170416.27,176432.689,184553.47,177041.766,191159.625,210088.256,217159.837,217719.645,213764.061,237443.711,214891.567,213096.274,230235.709,240798.608,262450.927,283152.542,316752.343,318368.286,321976.188,325055.978,351030.487,373163.257,363122.083,381498.199,376931.469,404780.07,428481.382,429625.662,424046.628,466949.577
Ukraine,910983.119,816432.899,761722.925,678142.055,567694.989,529764.601,487329.665,476887.382,452577.361,418344.933,404645.56,428294.603,415997.653,418801.679,433181.396,432983.872,447568.07,448861.505,451564.097,385525.374,398106.672,436968.531,422406.128,427974.645,382638.093,338849.748,361764.848,337934.958,366877.641,359152.655,315940.938
United States,5592825.166,5513030.633,5634849.876,5769189.322,5843252.202,5953586.114,6138782.713,6212772.365,6259575.529,6310091.023,6502364.378,6390354.985,6468608.614,6493042.24,6698995.328,6645034.772,6543625.211,6687431.397,6474172.323,6052775.693,6246405.885,6044358.104,5806598.656,6017079.955,6061974.19,5988939.716,5711228.862,5719766.062,5918246.007,5841238.056,5222411.065
South Africa,330366.99,,,,361221.2,,,,,,,,,,,,,,,,,,,,,,,,,,
